% IBTrACS (International Best Track Archive for Climate Stewardship) tropical storm database
@RELATION tropicalstorms

@ATTRIBUTE genesis_basin {NA, SA, WP, EP, SP, NI, SI}
@ATTRIBUTE nature {TS, SS, ET, DS}
@ATTRIBUTE track_type {main, merge, split, other}
@ATTRIBUTE time REAL
@ATTRIBUTE lon REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE dist2land REAL
@ATTRIBUTE msw REAL
@ATTRIBUTE mcp REAL
@ATTRIBUTE landfall {True, False}

@DATA
WP,ET,main,38617.75,161.0,24.5,2292,0.0,1008.0,True
NA,ET,main,35020.25,301.5,12.0,309,40.0,0.0,True
WP,TS,main,37577.75,119.199996948,17.2999992371,121,0.0,1006.0,True
NA,DS,main,53648.25,280.299987793,27.2999992371,50,35.0,1006.0,True
NA,ET,main,39280.25,276.0,12.6999998093,0,25.0,0.0,True
WP,TS,main,47423.0,125.0,16.0,236,0.0,1006.0,True
WP,TS,main,45296.25,177.0,8.0,2570,0.0,1006.0,True
WP,TS,main,44227.25,132.599990845,11.0,729,0.0,1006.0,True
EP,DS,main,52816.0,262.799987793,13.8999996185,200,25.0,1007.0,True
WP,ET,main,45882.0,124.599998474,16.1000003815,237,0.0,1006.0,True
WP,TS,main,48483.0,153.0,22.0,1914,0.0,1000.0,True
WP,TS,main,56866.25,133.599990845,17.3999996185,1047,0.0,998.0,True
WP,TS,main,37148.25,137.800003052,10.5999994278,1272,0.0,1006.0,True
SI,TS,main,44955.0,60.0,-12.0,939,20.0,0.0,True
NA,ET,main,55432.0,340.700012207,12.3999996185,271,25.0,1009.0,True
WP,ET,main,36395.0,135.0,16.0,1109,0.0,1004.0,True
WP,ET,main,48865.75,151.0,17.0,2175,0.0,1008.0,True
WP,TS,main,53322.75,134.399993896,8.89999961853,869,0.0,1004.0,True
WP,TS,main,48912.75,133.5,11.0,824,0.0,1004.0,True
WP,TS,main,54737.75,134.399993896,7.89999961853,860,0.0,1006.0,True
EP,ET,main,45888.25,264.5,10.5,573,30.0,0.0,True
WP,TS,main,42004.25,130.0,8.0,376,0.0,1002.0,True
NA,TS,main,35394.75,280.700012207,12.5,336,25.0,0.0,True
NA,ET,main,52977.5,283.799987793,12.8999996185,254,30.0,1005.0,True
WP,TS,main,52098.0,128.800003052,12.7999992371,364,0.0,1004.0,True
NA,ET,main,55447.25,337.299987793,14.0,565,30.0,1006.0,True
WP,ET,main,41156.75,151.0,13.0,1737,0.0,1008.0,True
WP,ET,main,40121.25,142.300003052,6.2999997139,991,0.0,1004.0,True
EP,TS,main,51057.0,250.800003052,18.2999992371,432,25.0,1004.0,True
WP,TS,main,38641.0,157.899993896,9.19999980927,1540,0.0,1007.0,True
WP,TS,main,49308.5,137.199996948,8.69999980927,1068,0.0,1006.0,True
WP,TS,main,37991.25,144.199996948,5.0,839,0.0,1004.0,True
NA,ET,main,53990.5,338.0,11.8999996185,568,25.0,1007.0,True
SI,TS,main,40250.25,42.0,-25.7999992371,219,0.0,0.0,True
NA,TS,main,51802.5,307.799987793,14.8999996185,1031,25.0,1010.0,True
WP,ET,main,46338.0,130.899993896,16.0,721,0.0,1000.0,True
SI,TS,main,38746.5,34.7999992371,-22.7999992371,0,0.0,0.0,True
NA,TS,main,43725.5,269.600006104,25.2999992371,424,20.0,1012.0,True
WP,ET,main,46326.75,115.5,15.7999992371,449,0.0,1006.0,True
NA,TS,main,41926.75,273.5,20.5,53,30.0,1008.0,True
WP,ET,main,53987.0,138.699996948,13.2999992371,1426,0.0,1006.0,True
WP,ET,main,41995.5,113.399993896,11.5999994278,438,0.0,1006.0,True
SI,TS,main,41357.25,67.1999969482,-12.7999992371,1300,0.0,0.0,True
WP,ET,main,34636.5,153.0,6.5,1057,0.0,1008.0,True
WP,TS,main,39446.0,138.0,9.0,1119,0.0,1008.0,True
EP,TS,main,51851.75,270.200012207,10.3000001907,342,25.0,1005.0,True
WP,ET,main,37890.0,127.899993896,21.1000003815,659,0.0,1008.0,True
NA,ET,main,45561.5,269.5,27.2999992371,201,30.0,1009.0,True
WP,ET,main,45185.0,130.0,16.0,645,0.0,1006.0,True
WP,TS,main,51466.25,126.799995422,11.6999998093,134,0.0,1004.0,True
NA,ET,main,37588.0,283.0,17.5,30,30.0,0.0,True
WP,TS,main,54076.0,136.599990845,9.0999994278,1103,0.0,1006.0,True
WP,ET,main,45145.0,114.0,17.5,393,0.0,1002.0,True
WP,TS,main,52112.75,125.699996948,19.0,364,0.0,1004.0,True
NA,DS,main,52909.75,275.299987793,18.5,290,15.0,1009.0,True
WP,ET,split,41473.25,113.0,20.3999996185,161,0.0,998.0,True
WP,TS,main,51139.5,126.199996948,9.30000019073,11,0.0,1004.0,True
NA,DS,main,56547.25,267.799987793,19.2999992371,78,25.0,1006.0,True
SI,ET,main,52977.25,65.1999969482,-9.5999994278,1424,20.0,1008.0,True
WP,ET,main,46997.5,143.0,8.5,1248,0.0,1008.0,True
WP,TS,main,39483.25,139.0,7.0,939,0.0,1000.0,True
WP,TS,main,34676.25,132.5,7.7999997139,650,0.0,1006.0,True
WP,TS,main,47807.0,140.0,9.0,1188,0.0,1008.0,True
WP,ET,main,56917.0,135.0,12.5999994278,1017,0.0,1002.0,True
SI,TS,main,47876.25,62.5,-8.0,1449,28.0,997.0,True
WP,ET,main,56535.0,121.5,25.5999984741,44,0.0,1004.0,True
WP,TS,main,52488.0,120.299995422,19.5,113,0.0,1002.0,True
WP,ET,main,49220.5,153.599990845,18.6000003815,2263,0.0,1006.0,True
WP,TS,main,37156.0,126.0,21.0,484,0.0,1002.0,True
WP,TS,main,49175.0,128.0,9.30000019073,195,0.0,1006.0,True
WP,TS,merge,35300.75,137.800003052,17.7999992371,1462,0.0,1004.0,True
