% IBTrACS (International Best Track Archive for Climate Stewardship) tropical storm database
@RELATION tropicalstorms

@ATTRIBUTE nature {TS, SS, ET, DS}
@ATTRIBUTE track_type {main, merge, split, other}
@ATTRIBUTE month {Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec}
@ATTRIBUTE lon REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE dist2land REAL
@ATTRIBUTE msw REAL
@ATTRIBUTE mcp REAL
@ATTRIBUTE landfall {True, False}

@DATA
ET,main,Aug,339.799987793,18.1000003815,415,40.0,0.0,True
TS,main,Feb,131.0,5.0,379,0.0,1002.0,True
ET,main,Aug,265.899993896,10.8999996185,446,25.0,0.0,True
ET,main,Sep,131.199996948,20.0,951,0.0,1006.0,True
ET,main,May,259.0,14.1999998093,312,35.0,0.0,True
TS,main,May,273.399993896,23.7999992371,260,30.0,0.0,True
TS,main,Jul,121.699996948,18.6999988556,35,0.0,1002.0,True
TS,main,Jul,286.799987793,22.2999992371,122,45.0,1004.0,True
ET,main,Sep,257.899993896,13.1999998093,468,30.0,0.0,True
TS,main,Mar,152.0,4.0,760,0.0,1004.0,True
ET,main,Aug,133.0,21.0,1140,0.0,1002.0,True
ET,main,Sep,123.799995422,22.5,254,0.0,1004.0,True
ET,main,Oct,275.5,16.5,70,25.0,0.0,True
ET,main,Jul,133.399993896,13.5999994278,870,0.0,1002.0,True
TS,main,Sep,268.0,22.7999992371,258,25.0,1000.0,True
ET,main,Sep,245.0,18.5,715,25.0,0.0,True
ET,main,Oct,124.0,17.0,159,0.0,998.0,True
TS,main,Aug,267.600006104,24.2999992371,417,30.0,1008.0,True
TS,main,Nov,110.0,7.0,375,0.0,1006.0,True
TS,main,Mar,134.800003052,10.8000001907,958,0.0,1004.0,True
TS,main,Oct,115.0,14.0,550,0.0,1004.0,True
TS,main,Dec,39.5999984741,-23.0,377,0.0,0.0,True
TS,main,Sep,276.200012207,25.1000003815,228,90.0,0.0,True
TS,main,Nov,154.0,13.1999998093,1814,0.0,1006.0,True
TS,main,Sep,265.399993896,20.3999996185,196,40.0,0.0,True
TS,main,Sep,260.700012207,13.5,322,25.0,1010.0,True
ET,main,Jun,273.299987793,25.5999984741,424,30.0,0.0,True
TS,main,Dec,57.7999992371,-12.0,859,20.0,1005.0,True
TS,main,Aug,141.800003052,16.2999992371,1815,0.0,1002.0,True
TS,main,Jun,272.799987793,25.5999984741,423,25.0,1014.0,True
DS,main,Jul,268.899993896,21.5,94,25.0,1006.0,True
TS,main,Jul,111.799995422,18.7999992371,122,0.0,1000.0,True
TS,main,Jul,131.099990845,14.6999998093,667,0.0,1004.0,True
TS,main,Sep,284.5,24.1999988556,225,35.0,0.0,True
TS,main,Oct,304.0,14.1999998093,669,40.0,0.0,True
TS,main,Aug,135.0,10.0,958,0.0,1008.0,True
ET,main,May,288.299987793,21.0,134,30.0,0.0,True
ET,main,Sep,261.399993896,13.0,346,25.0,0.0,True
ET,main,May,281.0,11.5,224,25.0,0.0,True
ET,main,Jun,267.899993896,17.1999988556,0,25.0,0.0,True
TS,main,Aug,306.399993896,24.6999988556,1425,50.0,0.0,True
ET,main,Jun,114.0,13.0,488,0.0,1004.0,True
TS,main,Jul,140.5,11.5999994278,1479,0.0,1000.0,True
TS,main,Jun,268.299987793,12.5,162,45.0,0.0,True
ET,main,Sep,305.399993896,20.6999988556,1180,35.0,0.0,True
ET,main,Oct,244.5,16.7999992371,892,30.0,0.0,True
TS,main,Sep,283.200012207,28.5,361,40.0,0.0,True
ET,main,Sep,288.299987793,23.5,289,35.0,0.0,True
ET,main,Jul,139.0,18.5,1609,0.0,1004.0,True
TS,main,Dec,55.1999969482,-10.6999998093,631,0.0,0.0,True
TS,main,May,278.0,12.0,169,25.0,0.0,True
ET,main,Aug,285.0,23.7999992371,284,30.0,0.0,True
TS,main,Feb,42.0,-18.0,208,28.0,997.0,True
ET,main,Aug,144.800003052,13.5,1759,0.0,1008.0,True
TS,main,Jun,273.5,26.6999988556,351,40.0,0.0,True
ET,main,Sep,280.0,21.1999988556,55,15.0,0.0,True
ET,main,Jul,151.800003052,11.3000001907,1571,0.0,1006.0,True
TS,main,Oct,256.0,15.0,366,75.0,0.0,True
TS,main,Oct,275.299987793,19.6999988556,235,35.0,0.0,True
ET,main,Aug,328.0,11.8000001907,1603,30.0,1007.0,True
TS,main,Oct,261.200012207,10.6999998093,598,30.0,0.0,True
TS,main,Aug,305.0,13.3999996185,719,35.0,0.0,True
ET,main,Aug,142.699996948,15.1999998093,1888,0.0,1004.0,True
TS,main,Sep,276.399993896,19.2999992371,249,40.0,0.0,True
TS,main,Jul,265.600006104,26.0,269,35.0,0.0,True
TS,main,Oct,286.200012207,17.0,111,90.0,0.0,True
TS,main,Jun,113.199996948,12.1999998093,404,0.0,1000.0,True
ET,main,Aug,131.0,20.0,930,0.0,1002.0,True
TS,main,Oct,274.399993896,18.8999996185,200,25.0,1007.0,True
TS,main,Aug,269.600006104,25.2999992371,424,20.0,1012.0,True
TS,main,Nov,132.5,18.1000003815,985,0.0,1006.0,True
TS,main,Jun,112.099998474,19.0,133,0.0,996.0,True
ET,main,Jul,129.0,9.0,296,0.0,1002.0,True
TS,main,Nov,128.0,12.0,264,0.0,1004.0,True
TS,main,Jul,134.0,12.6999998093,912,0.0,1006.0,True
TS,main,Oct,150.0,6.5,1006,0.0,1008.0,True
TS,main,Aug,147.399993896,16.3999996185,2072,0.0,1002.0,True
TS,main,Oct,278.5,11.5999994278,228,45.0,0.0,True
TS,main,Sep,266.0,19.0,79,25.0,0.0,True
TS,main,Oct,257.200012207,9.69999980927,852,25.0,1009.0,True
TS,main,Oct,281.5,25.0,30,25.0,0.0,True
TS,main,Dec,153.5,3.19999980927,721,0.0,995.0,True
TS,main,Aug,272.5,26.0,370,25.0,0.0,True
ET,main,Aug,274.5,19.0,207,30.0,0.0,True
TS,main,Jul,148.5,22.0,1665,0.0,1006.0,True
TS,main,Aug,134.0,10.1999998093,859,0.0,1008.0,True
TS,main,Jun,132.199996948,8.5999994278,625,0.0,1008.0,True
ET,main,Aug,125.899993896,21.3999996185,500,0.0,1008.0,True
TS,main,Oct,303.799987793,11.5,497,35.0,0.0,True
ET,main,Aug,138.5,19.7999992371,1474,0.0,1004.0,True
TS,main,Feb,55.0999984741,-10.5,631,20.0,1004.0,True
TS,main,Jul,262.299987793,12.8999996185,324,25.0,1007.0,True
DS,main,Sep,267.799987793,19.2999992371,78,25.0,1006.0,True
TS,main,Aug,271.5,29.0,49,25.0,1012.0,True
TS,main,Jan,140.0,9.0,1188,0.0,1006.0,True
ET,main,Oct,288.799987793,30.0,722,30.0,1007.0,True
TS,main,Oct,298.799987793,17.8999996185,466,50.0,0.0,True
TS,main,Jun,135.300003052,11.1999998093,1021,0.0,1008.0,True
ET,main,Sep,272.700012207,19.7999992371,20,25.0,1008.0,True
TS,main,Aug,319.700012207,10.3999996185,1392,30.0,1010.0,True
TS,main,Jul,270.799987793,8.89999961853,399,25.0,1008.0,True
ET,main,Sep,282.600006104,28.5,302,35.0,1008.0,True
TS,main,Sep,291.0,23.0,394,30.0,0.0,True
TS,main,Aug,159.300003052,21.6999988556,2370,0.0,1002.0,True
TS,main,Oct,142.0,7.0,1052,0.0,1004.0,True
TS,main,Jul,130.199996948,14.6999998093,580,0.0,1008.0,True
TS,main,Aug,141.0,19.0,1686,0.0,1004.0,True
TS,main,Aug,287.600006104,26.5,576,80.0,0.0,True
TS,merge,Nov,131.0,9.0,505,0.0,1004.0,True
ET,main,Aug,136.699996948,19.5,1418,0.0,1004.0,True
TS,main,Oct,147.5,17.0,2136,0.0,1006.0,True
TS,main,Jun,276.399993896,21.6999988556,46,25.0,1011.0,True
ET,main,Sep,314.399993896,14.5999994278,1302,25.0,1008.0,True
TS,main,Apr,131.199996948,7.89999961853,507,0.0,1006.0,True
ET,main,Oct,280.0,19.5,217,30.0,0.0,True
TS,main,Jul,270.600006104,27.5,170,30.0,0.0,True
TS,main,May,273.5,10.0999994278,73,30.0,1003.0,True
ET,main,Sep,287.0,27.0,542,25.0,0.0,True
